"codename","Freq","nome_consel"
"adriano_augusto_araujo_jorge_ima",6,"adriano augusto araújo jorge"
"alberto_da_silva_santos_ircos",2,"alberto da silva santos"
"alberto_rodrigues_ahmaja",7,"alberto rodrigues"
"alcides_souza_turismo",4,"alcides souza"
"alexandre_henrique_rocha_dantas_singtur",5,"alexandre henrique rocha dantas"
"aline_santos_1",1,NA
"amaro_jose_da_silva_colonia_z15",1,"amaro josé da silva"
"ana_paula_de_moura_souza_amitus",34,"ana paula de moura souza"
"ana_vercosa_aribama",2,"ana verçosa"
"andre_muniz_marinha_al",3,"andre muniz"
"andrea_olinto_semas_pe",27,"andrea olinto"
"andrei_cardoso_icmbio_apacc",26,NA
"antonia_amorim_alves_pmpar",4,"antonia amorim alves"
"antonio_clerton_cepene",1,"antonio clerton"
"antonio_dos_santos_apb",1,"antonio dos santos"
"beatrice_padovani_ufpe",7,"beatrice padovani"
"beatriz_mesquita_jardim_pedrosa_fundaj",49,"beatriz mesquita jardim pedrosa"
"bruno_stefanis_pereira_de_oliveira_biota",48,"bruno stefanis pereira de oliveira"
"camila_keiko_sos_mata_atlantica",2,"camila keiko"
"carlos_eduardo_gomes_barreto_semarh",2,"carlos eduardo gomes barreto"
"carlos_palmeira_lopes_abih",1,"carlos palmeira lopes"
"carolina_neves_souza_yande_icmbio",25,"carolina neves souza"
"cicero_de_oliveira_aribama",2,"cicero de oliveira"
"cidalia_da_silva_santos_abevila",1,"cidalia da silva santos"
"claudio_fabi_icmbio",14,"claudio fabi"
"claudio_sampaio_ufal",3,"cláudio sampaio"
"clemente_coelho_junior_biomabrasil",26,"clemente coelho junior"
"clerton_pontes_cepene",3,"clerton pontes"
"convid_bugueiros",1,NA
"convid_capacitadores",3,NA
"convid_eduardo_representante_jangadeiros_margogi",1,NA
"convid_gestao_municipal",5,NA
"convid_pescadores",2,NA
"convid_welington_pres_ass_lancheiros_e_representantes",6,NA
"convidad_financiadores",4,NA
"convidad_instipesquisa",5,NA
"convidad_lucian_ircos",1,NA
"convidad_ong_associacao",2,NA
"convidad_turismo",4,NA
"cristian_bernem_mpa_al",1,"cristian bernem"
"danilo_marx_nascimento_carvalho_nautica_ambiental",9,NA
"darlany_benedita_sa_rocha_mpa_pe",1,"darlany benedita sá rocha"
"diego_da_silva_santos_unipropolis",4,"diego da silva santos"
"eduardo_barreto",5,NA
"eduardo_machado_icmbio",91,"eduardo machado"
"enilde_lima_oliveira_z9",2,"enilde lima oliveira"
