nome_consel,entidade_sigla,categoria1,categoria2
adriano augusto araújo jorge,IMA,Gestão Pública,Poder Público
alberto da silva santos,IRCOS,ONGs Ambientalistas,Sociedade Civil
alberto rodrigues,AHMAJA,Atividade Turística,Sociedade Civil
alcides souza,turismo,Atividade Turística,Sociedade Civil
aline santos,,,
alexandre henrique rocha dantas,SINGTUR,Atividade Turística,Sociedade Civil
alfredo ferraz,PMTAM,Gestão Pública,Poder Público
amaro josé da silva,COLONIA_Z15,Atividade Pesqueira,Sociedade Civil
ana verçosa,ARIBAMA,Atividade Turística,Sociedade Civil
ana paula de moura souza,AMITUS,Atividade Turística,Sociedade Civil
andre muniz,MARINHA_AL,Gestão Pública,
anderson da silva santos,PMTAM,Gestão Pública,Poder Público
andré vieira de paula,ISSLNM,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
andrei cardozo,ICMBIO_APACC,Gestão Pública,
andrea olinto,SEMAS_PE,Gestão Pública,Poder Público
antonio dos santos,APB,Atividade Turística,
antonio clerton,CEPENE,Instituição de Ensino e Pesquisa,Poder Público
anivaldo miranda pinto,SEMARH,Gestão Pública,Poder Público
antonia amorim alves,PMPAR,Gestão Pública,Poder Público
antonio marcos dos santos silva,Z-15,Atividade Pesqueira,Sociedade Civil
beatrice padovani,UFPE,Instituição de Ensino e Pesquisa,
beatriz mesquita jardim pedrosa,FUNDAJ,Instituição de Ensino e Pesquisa,Poder Público
benaldo do nascimento barros,Z-21/Z-14,Atividade Pesqueira,Sociedade Civil
bernadete weber reckziegel,SPU/AL,Gestão Pública,Poder Público
bruno stefanis pereira de oliveira,BIOTA,ONGs Ambientalistas,Sociedade Civil
camila keiko,SOS_MATA_ATLANTICA,ONGs Ambientalistas,
carlos danile peréz,PPGSHMA/UFPE,Instituição de Ensino e Pesquisa,Poder Público
carlos eduardo gomes barreto,SEMARH,Gestão Pública,Poder Público
carlos palmeira lopes,ABIH,"Agricultura, Indústria e Comércio",Sociedade Civil
carolina neves souza,YANDE_ICMBIO,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
Caroline V Cooke,IBAMA/AL,Gestão Pública,Poder Público
cicero de oliveira,ARIBAMA,Atividade Turística,Sociedade Civil
cícero josé dos santos,Z-9,Atividade Pesqueira,Sociedade Civil
cícero pereira de castro junior,MPA/PE,Gestão Pública,Poder Público
cidalia da silva santos,ABEVILA,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
claudio bulgarolli,PMSMM,Gestão Pública,Poder Público
claudio fabi,ICMBIO,Gestão Pública,
cláudio sampaio,UFAL,Instituição de Ensino e Pesquisa,Poder Público
clemente coelho junior,BIOMABRASIL,ONGs Ambientalistas,Sociedade Civil
clerton pontes,CEPENE,Gestão Pública,
corinne yolande y. Vard,AREAL,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
cristian bernem,MPA_AL,Gestão Pública,Poder Público
dácio lopes camerino filho,IFAL,Instituição de Ensino e Pesquisa,Poder Público
daniela virtuoso dos santos,SINGTUR-AL/IABS,Atividade Turística,Sociedade Civil
danilo marx nascimento carvalho,NÁUTICA,Atividade Turística,Sociedade Civil
darlany benedita sá rocha,MPA_PE,Gestão Pública,Poder Público
diego da silva santos,UNIPROPOLIS,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
edjanete candido pereira,PMMAR,Gestão Pública,Poder Público
edjanete cândido pereira,PMMAR,Gestão Pública,Poder Público
edjanetete candido pereira,PMMAR,Gestão Pública,Poder Público
eduardo machado,ICMBIO,Gestão Pública,
eduardo barreto,,,
enilde lima oliveira,Z9,Atividade Pesqueira,Sociedade Civil
erani ferrari,IMA,Gestão Pública,Poder Público
erick melo,PMSMM,Gestão Pública,Poder Público
erivânia araújo da silva stefanis,BIOTA-AL,ONGs Ambientalistas,Sociedade Civil
ermi ferrari,IMA,Gestão Pública,Poder Público
ernando ferreira pinto,AJAMBASA,Atividade Turística,Sociedade Civil
fabiano pimentel ribeiro,CEPENE,Gestão Pública,Poder Público
fábio adonis cunha,PPB/ICMBIO,Instituição de Ensino e Pesquisa,Poder Público
farid daher,APCM,Atividade Turística,Sociedade Civil
fernanda loffer niemeyer attademo,PPB,Instituição de Ensino e Pesquisa,Poder Público
fernando fernandes,SPU/AL,Gestão Pública,Poder Público
fernando sérgio lira,PMMARAGOGI,Gestão Pública,Poder Público
francis hurst oliveira da fonseca,SEDETUR AL,Gestão Pública,Poder Público
gabriela calixto,ICMBIO,Gestão Pública,
gandh gouveia,PMSMM,Gestão Pública,Poder Público
genilza santos mendonça,Z-22,Atividade Pesqueira,Sociedade Civil
giannina cysneiros bezerra,SEMAS,Gestão Pública,Poder Público
gisela carvalho,SPU_PE,Gestão Pública,Poder Público
hedyane,IRCOS,ONGs Ambientalistas,
iara braga sommer,CEPENE,Instituição de Ensino e Pesquisa,Poder Público
iran campello normande,ICMBIO,Gestão Pública,Poder Público
izabel cristina chagas,SAP PMPC,Gestão Pública,Poder Público
jancirleide maria da silva,Z-5,Atividade Pesqueira,Sociedade Civil
jaziel gonsalves lages,Z-9,Atividade Pesqueira,Sociedade Civil
jeferson tito lima,SAP PMPC,Gestão Pública,Poder Público
jéssica francyne frias,PMTAM,Gestão Pública,Poder Público
joab gomes de melo,IFAL,Instituição de Ensino e Pesquisa,Poder Público
joany deodato,CPRH,Gestão Pública,Poder Público
johnny pescador,Paripueira,Atividade Pesqueira,
joão amaral dos santos,Z-25,Atividade Pesqueira,Sociedade Civil
joão b de oliveira júnior,CPRH,Gestão Pública,Poder Público
joão cândido nogueira,AEJATUR,Atividade Turística,Sociedade Civil
joão carlos gomes borges,FMA,ONGs Ambientalistas,Sociedade Civil
joão da silva mota,PMPP,Gestão Pública,Poder Público
joão lessa,PMMARAGOGI,Gestão Pública,
josé amaro dos santos,ABEVILA,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
josé carlos gomes borges,FMA,ONGs Ambientalistas,Sociedade Civil
josé cláudio damaso cavalcante,ARIBAMA,Atividade Turística,Sociedade Civil
josé heriberto menezes de lima,CEPENE,Gestão Pública,Poder Público
josé ismar lima de carvalho,APB,Atividade Turística,Sociedade Civil
josé maciel dos santos,UNIMOP,Atividade Turística,Sociedade Civil
josé marques da costa filho,Z-11,Atividade Pesqueira,Sociedade Civil
josé reginaldo da silva,ARIBAMA/AJCSMM,Atividade Turística,Sociedade Civil
josé ulisses dos santos,ICMBIO,Gestão Pública,Poder Público
josé veloso da silva,AMITUS,Atividade Turística,Sociedade Civil
jovina flores,Z11,Atividade Pesqueira,
juliana dias viana silva,SPU/AL,Gestão Pública,Poder Público
juliano mauricio fritscher,IBVM,ONGs Ambientalistas,Sociedade Civil
jurandir dias de araújo,ISSLNM,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
juvenita lucena de albuquerque,FUNDAJ,Instituição de Ensino e Pesquisa,Poder Público
karine matos magalhães,UFRPE,Instituição de Ensino e Pesquisa,Poder Público
kennia de cássia araújo galdino,MOVIDA,Organizações de educação e cultura e associações comunitárias,Sociedade Civil
laurineide maria vieira de carvalho,CPP,Atividade Pesqueira,Sociedade Civil
leivan souza pinto,MPA/AL,Gestão Pública,Poder Público
leonardo tortorielo messias,CEPENE,Gestão Pública,Poder Público
lilian,ICMBIO,Gestão Pública,
lígia albuquerque de melo,FUNDAJ,Instituição de Ensino e Pesquisa,Poder Público
lisanildo dos santos,SAP PMPC,Gestão Pública,Poder Público
