"codename","nome_consel","entidade_sigla","categoria1","categoria2"
"adriano_augusto_araujo_jorge_ima","adriano_augusto_araujo_jorge","ima","gestao_publica","poder_publico"
"alberto_da_silva_santos_ircos","alberto_da_silva_santos","ircos","ongs_ambientalistas","sociedade_civil"
"alberto_rodrigues_ahmaja","alberto_rodrigues","ahmaja","atividade_turistica","sociedade_civil"
"alcides_souza_na","alcides_souza",NA,NA,NA
"alcides_souza_turismo",NA,NA,NA,NA
"alexandre_henrique_rocha_dantas_singtur",NA,NA,NA,NA
"alexandre_henrique_rocha_dantas_singtural_iabs","alexandre_henrique_rocha_dantas","singtural_iabs","atividade_turistica","sociedade_civil"
"alfredo_ferraz_pmtam","alfredo_ferraz","pmtam","gestao_publica","poder_publico"
"aline_santos_1",NA,NA,NA,NA
"aline_santos_na","aline_santos",NA,NA,NA
"amaro_jose_da_silva_colonia_z15",NA,NA,NA,NA
"amaro_jose_da_silva_z15","amaro_jose_da_silva","z15","atividade_pesqueira","sociedade_civil"
"ana_das_dores_albuquerque_vercosa_aribama_ajcsmm","ana_das_dores_albuquerque_vercosa","aribama_ajcsmm","atividade_turistica","sociedade_civil"
"ana_paula_de_moura_souza_amitus","ana_paula_de_moura_souza","amitus","atividade_turistica","sociedade_civil"
"ana_vercosa_aribama",NA,NA,NA,NA
"anderson_da_silva_santos_pmtam","anderson_da_silva_santos","pmtam","gestao_publica","poder_publico"
"andre_muniz_capitania_marinha_al","andre_muniz","capitania_marinha_al","gestao_publica",NA
"andre_muniz_marinha_al",NA,NA,NA,NA
"andre_vieira_de_paula_isslnm","andre_vieira_de_paula","isslnm","organizacoes_de_educacao_e_cultura_e_associacoes_comunitarias","sociedade_civil"
"andrea_olinto_semas","andrea_olinto","semas","gestao_publica","poder_publico"
"andrea_olinto_semas_pe",NA,NA,NA,NA
"andrei_cardoso_icmbio_apacc",NA,NA,NA,NA
"andrei_cardozo_icmbio_apacc","andrei_cardozo","icmbio_apacc","gestao_publica",NA
"anivaldo_miranda_pinto_semarh","anivaldo_miranda_pinto","semarh","gestao_publica","poder_publico"
"antonia_amorim_alves_pmpar","antonia_amorim_alves","pmpar","gestao_publica","poder_publico"
"antonio_clerton_cepene",NA,NA,NA,NA
"antonio_dos_santos_apb","antonio_dos_santos","apb","atividade_turistica",NA
"antonio_marcos_dos_santos_silva_z15","antonio_marcos_dos_santos_silva","z15","atividade_pesqueira","sociedade_civil"
"beatrice_padovani_ufpe","beatrice_padovani","ufpe","instituicao_de_ensino_e_pesquisa",NA
"beatriz_mesquita_jardim_pedrosa_ferreira_fundaj","beatriz_mesquita_jardim_pedrosa_ferreira","fundaj","instituicao_de_ensino_e_pesquisa","poder_publico"
"beatriz_mesquita_jardim_pedrosa_fundaj",NA,NA,NA,NA
"benaldo_do_nascimento_barros_z21_z14","benaldo_do_nascimento_barros","z21_z14","atividade_pesqueira","sociedade_civil"
"bernadete_weber_reckziegel_spu_al","bernadete_weber_reckziegel","spu_al","gestao_publica","poder_publico"
"bruno_stefanis_pereira_de_oliveira_biota",NA,NA,NA,NA
"bruno_stefanis_pereira_de_oliveira_biotaal","bruno_stefanis_pereira_de_oliveira","biotaal","ongs_ambientalistas","sociedade_civil"
"camila_keiko_sos_mata_atlantica","camila_keiko","sos_mata_atlantica","ongs_ambientalistas",NA
"carlos_abih",NA,NA,NA,NA
"carlos_danile_perez_ppgshma_ufpe","carlos_danile_perez","ppgshma_ufpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"carlos_eduardo_gomes_barreto_semarh","carlos_eduardo_gomes_barreto","semarh","gestao_publica","poder_publico"
"carlos_palmeira_lopes_villanova_abih_al_abay","carlos_palmeira_lopes_villanova","abih_al_abay","agricultura,_industria_e_comercio","sociedade_civil"
"carolina_neves_souza_yande_icmbio","carolina_neves_souza","yande_icmbio","organizacoes_de_educacao_e_cultura_e_associacoes_comunitarias","sociedade_civil"
"caroline_v_cooke_ibama_al","caroline_v_cooke","ibama_al","gestao_publica","poder_publico"
"cicero_de_oliveira_aribama","cicero_de_oliveira","aribama","atividade_turistica","sociedade_civil"
"cicero_jose_dos_santos_z9","cicero_jose_dos_santos","z9","atividade_pesqueira","sociedade_civil"
"cicero_pereira_de_castro_junior_mpa_pe","cicero_pereira_de_castro_junior","mpa_pe","gestao_publica","poder_publico"
"cidalia_da_silva_santos_abevila",NA,NA,NA,NA
