word,freq,meeting
assento,31.0,meeting_9
suplente,27.0,meeting_9
titular,26.0,meeting_9
consenso,22.0,meeting_9
conapac,22.0,meeting_9
reuniao,20.0,meeting_9
instituicoes,16.0,meeting_9
nao,15.0,meeting_9
turismo,14.0,meeting_9
permanece,14.0,meeting_9
conselho,13.0,meeting_9
sao,13.0,meeting_9
al,12.0,meeting_9
votos,11.0,meeting_9
favor,11.0,meeting_9
meio,10.0,meeting_9
ambiente,10.0,meeting_9
plenaria,10.0,meeting_9
apacc,10.0,meeting_9
b,9.0,meeting_9
hmin,9.0,meeting_9
pesca,8.0,meeting_9
c,8.0,meeting_9
ja,8.0,meeting_9
defendeu,8.0,meeting_9
miguel,8.0,meeting_9
gestao,8.0,meeting_9
jose,8.0,meeting_9
vaga,8.0,meeting_9
colonia,8.0,meeting_9
milagres,7.0,meeting_9
memoria,7.0,meeting_9
prefeitura,7.0,meeting_9
municipal,7.0,meeting_9
presidente,7.0,meeting_9
informou,7.0,meeting_9
conselheiros,7.0,meeting_9
z,7.0,meeting_9
propoe,6.0,meeting_9
representante,6.0,meeting_9
d,6.0,meeting_9
pesquisa,6.0,meeting_9
aquicultura,6.0,meeting_9
acordo,6.0,meeting_9
alagoas,6.0,meeting_9
sr,6.0,meeting_9
japaratinga,6.0,meeting_9
cientifica,6.0,meeting_9
contra,5.0,meeting_9
secretaria,5.0,meeting_9
gouveia,5.0,meeting_9
planejamento,5.0,meeting_9
paulo,5.0,meeting_9
costa,5.0,meeting_9
maragogi,5.0,meeting_9
ser,5.0,meeting_9
discussao,5.0,meeting_9
municipio,5.0,meeting_9
capacitacao,5.0,meeting_9
corais,5.0,meeting_9
fundacao,5.0,meeting_9
setor,5.0,meeting_9
paripueira,5.0,meeting_9
pois,5.0,meeting_9
eduardo,5.0,meeting_9
abstencao,5.0,meeting_9
deg,5.0,meeting_9
participacao,5.0,meeting_9
spu,4.0,meeting_9
fica,4.0,meeting_9
setur,4.0,meeting_9
porto,4.0,meeting_9
pedras,4.0,meeting_9
todas,4.0,meeting_9
cepene,4.0,meeting_9
ate,4.0,meeting_9
camara,4.0,meeting_9
instituto,4.0,meeting_9
