index,word,freq
493,c,851
309,conselheiro,715
52,sobre,643
7,conselho,588
18,apacc,501
300,icmbio,477
3,conselheiros,435
2422,napso,408
331,plano,398
105,presidente,392
14,conapac,389
69,ser,378
5,reuniao,362
110,nao,361
17,apa,338
618,pesca,331
1447,informa,320
354,informou,287
489,pauta,264
11,ambiental,261
569,ja,247
512,secretaria,244
332,manejo,230
920,conselheira,227
189,projeto,226
883,turismo,218
2397,reuniapso,211
432,iran,209
134,eduardo,208
170,proposta,208
12,costa,206
13,corais,200
1179,ct,199
602,sera,197
53,processo,195
93,todos,193
1241,m,192
521,maragogi,192
1899,rio,187
536,trabalho,185
185,al,182
60,gestao,181
251,sendo,176
9,area,172
25,unidade,166
297,ulisses,159
824,pescadores,159
2437,ria,158
342,documento,157
392,ana,157
133,analista,148
450,paulo,142
233,sao,138
373,s,138
434,normande,136
130,apresentacao,136
1100,pois,134
78,cepene,134
664,pode,133
1046,pesquisa,129
650,dia,128
2377,gestapso,128
528,apresentou,126
205,claudio,125
262,tambem,125
501,ainda,124
403,bruno,122
506,atividade,116
393,paula,116
107,meio,115
639,ter,115
2530,tamba,114
516,areas,113
181,grupo,113
307,regimento,112
1667,diz,112
500,atividades,110
147,discussao,109
1049,camaras,109
1697,forma,108
266,uso,108
190,monitoramento,108
1106,boi,108
954,sugere,107
1590,prefeitura,105
1914,ha,104
2489,sapso,103
270,reunioes,102
653,tema,102
706,disse,102
1380,ambiente,101
261,plenaria,101
204,luiz,101
388,ima,100
226,necessidade,100
380,local,100
2332,palavra,99
153,equipe,98
0,memoria,98
1226,gt,97
2402,conapacc,95
475,beatriz,95
1999,peixe,95
249,aprovada,93
925,alagoas,93
296,jose,93
850,biodiversidade,92
2381,apresentaassapso,91
2439,plena,91
1417,apoio,91
406,biota,89
2393,cac,89
2387,ncia,88
215,cada,87
792,deve,87
365,grande,87
605,parte,86
33,pe,86
186,sugeriu,85
58,participacao,85
119,acoes,85
27,uc,85
629,acordo,84
2541,reas,83
41,instituicoes,83
2618,estapso,82
492,hmin,79
38,tamandare,79
255,pedro,79
517,visitacao,78
662,explica,78
308,interno,77
835,solicitou,77
117,recursos,77
2383,ta,77
343,fazer,77
2408,conservaassapso,76
2802,rea,76
495,b,76
361,porto,76
897,serao,75
2517,setor,75
1156,cts,75
2580,participaassapso,75
1969,fala,74
1839,instituto,74
924,estado,74
997,realizadas,73
272,momento,73
5560,revisapso,73
1124,resultados,73
1277,vai,73
1486,dados,72
658,participar,72
722,planejamento,71
769,ressaltou,71
2547,criaassapso,71
1325,suplente,71
908,praia,71
125,apos,71
298,santos,70
440,heriberto,70
1665,questiona,70
4014,limites,70
150,camara,69
410,carolina,68
596,falou,68
146,municipios,68
362,pedras,68
6,ordinaria,68
240,apenas,68
101,representantes,68
1102,projetos,68
732,piscinas,67
92,seguida,67
2265,vandick,66
554,marinha,66
2973,visitaassapso,66
591,outras,66
1294,proxima,66
490,informes,66
1050,tecnicas,66
663,zona,65
26,conservacao,65
852,novo,65
667,outros,65
1063,tendo,64
781,bem,64
128,realizada,64
83,mauro,64
74,criacao,64
884,base,64
177,assunto,64
2679,importac,63
509,dois,63
537,zoneamento,63
1159,demandas,63
627,informacoes,62
953,encaminhamentos,62
82,ufpe,62
715,votos,62
975,estao,62
363,paripueira,62
48,presentes,62
686,explicou,62
2993,moassapso,62
3849,clemente,62
726,anexo,61
1537,locais,61
216,caso,61
679,nova,61
551,zonas,61
22,abertura,60
1017,fez,60
1071,conforme,60
2440,apas,60
2682,tica,60
2688,praxima,59
1292,membros,59
645,interesse,59
719,ano,59
250,unanimidade,58
15,japaratinga,58
714,composicao,58
1153,trabalhos,58
314,ate,58
278,capacitacao,58
857,duas,58
1001,feito,57
293,alguns,57
617,ordenamento,57
81,representante,57
547,objetivo,57
649,realizado,57
1111,seminario,56
582,fiscalizacao,56
4374,pergunta,56
1528,pessoas,56
1222,maior,56
304,deu,56
2484,questapso,56
451,roberto,56
2681,mara,56
327,data,55
197,onde,55
968,encaminhamento,55
648,socioambiental,54
488,aprovacao,54
168,ufal,54
28,marcelo,54
761,municipio,54
520,praias,53
631,assim,53
299,cma,53
472,almeida,53
72,objetivos,53
182,joao,53
513,executiva,53
2449,aprovaassapso,53
1766,lucas,53
753,propostas,53
1749,consenso,53
1160,podem,53
1659,falta,53
609,quanto,52
449,ibama,52
290,sentido,52
970,contra,52
526,relator,52
782,todas,52
2316,severino,52
2697,assento,52
574,mesma,52
165,spu,52
959,tac,51
118,realizacao,51
724,acao,51
1107,brasil,51
3542,leonardo,51
155,impactos,51
1332,avaliacao,51
2013,titular,51
1126,licenciamento,51
100,final,51
597,processos,51
1112,comunidades,50
1689,pm,50
1008,ponto,50
5702,reforassa,50
2615,rios,50
404,stefanis,50
391,z,50
6133,andrei,50
640,sido,50
50,gestor,50
43,publico,49
1312,municipal,49
635,aprovado,49
425,fabiano,49
347,ficou,49
1785,dentro,49
5787,paoblico,48
10,protecao,48
1163,demanda,48
2241,servidores,48
1752,art,48
260,durante,48
55,importancia,48
555,miguel,48
73,partir,48
24,chefe,48
499,algumas,48
822,questionou,47
1743,texto,47
962,associacao,47
1052,participantes,47
284,elaboracao,47
1408,artesanal,46
360,dias,46
42,poder,46
1864,pernambuco,46
305,inicio,46
2543,tipo,46
801,existe,46
1502,naturais,46
847,colocou,46
276,programa,46
222,atual,45
281,temas,45
595,ambientais,45
411,neves,45
556,milagres,45
952,quais,45
796,pesqueira,45
62,demais,45
122,anos,45
507,antes,44
561,questao,44
527,d,44
1633,mpf,44
151,tecnica,43
716,favor,43
1048,revisao,43
728,perguntou,43
689,coordenador,43
2576,tamandara,43
364,coroa,43
1532,porque,43
316,devido,43
401,antonio,43
1190,numero,43
2196,mangue,43
2691,reuniaues,43
172,dar,42
2678,governo,42
253,desta,42
613,passou,42
1293,devera,42
1436,exemplo,42
407,carlos,41
7803,wenderson,41
2774,setores,41
723,informando,41
564,comunicacao,41
2471,votaassapso,41
699,geral,41
103,toyota,41
1403,deste,41
44,sociedade,40
2793,sa,40
935,grupos,40
2647,aassaues,40
113,mata,40
515,novas,40
1533,informe,40
30,andrea,40
