"rowid","cid","fid","codename","filename","index1","index2","CodingLength"
102,57,13,"t_cat_conflito","meeting_06",4989,8676,3687
117,18,13,"t_cat_cooperacao","meeting_06",10770,11142,372
123,18,13,"t_cat_cooperacao","meeting_06",15110,15286,176
186,57,12,"t_cat_conflito","meeting_05",4126,7915,3789
215,18,1,"t_cat_cooperacao","meeting_08",2331,3409,1078
225,57,1,"t_cat_conflito","meeting_08",9728,13816,4088
231,18,2,"t_cat_cooperacao","meeting_09",1268,1610,342
232,18,2,"t_cat_cooperacao","meeting_09",2841,4235,1394
252,18,16,"t_cat_cooperacao","meeting_11",3061,3509,448
255,18,16,"t_cat_cooperacao","meeting_11",3515,4370,855
259,18,16,"t_cat_cooperacao","meeting_11",4753,10804,6051
268,18,17,"t_cat_cooperacao","meeting_14",2084,2339,255
269,18,17,"t_cat_cooperacao","meeting_14",2340,2568,228
270,18,17,"t_cat_cooperacao","meeting_14",2569,2827,258
274,18,17,"t_cat_cooperacao","meeting_14",2828,3220,392
275,18,17,"t_cat_cooperacao","meeting_14",3222,4667,1445
278,18,17,"t_cat_cooperacao","meeting_14",5023,5345,322
282,57,17,"t_cat_conflito","meeting_14",5618,5963,345
287,18,17,"t_cat_cooperacao","meeting_14",6606,6986,380
291,18,17,"t_cat_cooperacao","meeting_14",6987,7474,487
297,18,17,"t_cat_cooperacao","meeting_14",10292,10789,497
300,18,17,"t_cat_cooperacao","meeting_14",12194,12385,191
313,18,3,"t_cat_cooperacao","meeting_18",2388,2842,454
317,57,3,"t_cat_conflito","meeting_18",2847,4869,2022
343,18,3,"t_cat_cooperacao","meeting_18",9370,11478,2108
369,18,18,"t_cat_cooperacao","meeting_19",5140,6083,943
373,57,4,"t_cat_conflito","meeting_01",1984,4063,2079
615,57,27,"t_cat_conflito","meeting_02",3457,3872,415
616,18,27,"t_cat_cooperacao","meeting_02",3457,3872,415
638,57,27,"t_cat_conflito","meeting_02",3874,6324,2450
647,57,27,"t_cat_conflito","meeting_02",7151,8221,1070
696,18,24,"t_cat_cooperacao","meeting_03",4067,4413,346
701,18,24,"t_cat_cooperacao","meeting_03",4416,6097,1681
733,18,13,"t_cat_cooperacao","meeting_06",7757,8132,375
736,18,13,"t_cat_cooperacao","meeting_06",8677,9217,540
743,57,13,"t_cat_conflito","meeting_06",13519,14923,1404
744,18,13,"t_cat_cooperacao","meeting_06",13519,14923,1404
770,57,1,"t_cat_conflito","meeting_08",4374,6900,2526
886,57,2,"t_cat_conflito","meeting_09",15037,15982,945
988,18,16,"t_cat_cooperacao","meeting_11",2038,2469,431
1041,18,31,"t_cat_cooperacao","meeting_12",1835,2468,633
1044,18,31,"t_cat_cooperacao","meeting_12",3588,4410,822
1050,18,31,"t_cat_cooperacao","meeting_12",4414,5210,796
1053,18,31,"t_cat_cooperacao","meeting_12",5214,5631,417
1055,18,31,"t_cat_cooperacao","meeting_12",5633,5905,272
1078,57,31,"t_cat_conflito","meeting_12",11162,11841,679
1081,57,31,"t_cat_conflito","meeting_12",12319,13320,1001
1086,57,31,"t_cat_conflito","meeting_12",13324,14037,713
1087,18,31,"t_cat_cooperacao","meeting_12",13324,14037,713
1092,57,31,"t_cat_conflito","meeting_12",14041,14854,813
1093,18,31,"t_cat_cooperacao","meeting_12",14041,14854,813
1104,18,31,"t_cat_cooperacao","meeting_12",16155,16639,484
1112,18,31,"t_cat_cooperacao","meeting_12",17202,18669,1467
1126,18,31,"t_cat_cooperacao","meeting_12",20691,21076,385
1130,18,31,"t_cat_cooperacao","meeting_12",21080,21434,354
1155,18,17,"t_cat_cooperacao","meeting_14",1872,2082,210
1218,57,32,"t_cat_conflito","meeting_04",1379,2569,1190
1230,57,32,"t_cat_conflito","meeting_04",5182,5886,704
1232,57,32,"t_cat_conflito","meeting_04",5888,6181,293
1235,57,32,"t_cat_conflito","meeting_04",7889,8928,1039
1239,18,32,"t_cat_cooperacao","meeting_04",8929,9337,408
1246,18,32,"t_cat_cooperacao","meeting_04",9338,11028,1690
1273,18,33,"t_cat_cooperacao","meeting_10",2704,3340,636
1286,18,33,"t_cat_cooperacao","meeting_10",3678,3917,239
1291,57,33,"t_cat_conflito","meeting_10",4345,5038,693
1299,18,33,"t_cat_cooperacao","meeting_10",5039,5314,275
1300,18,33,"t_cat_cooperacao","meeting_10",5315,5583,268
1323,18,33,"t_cat_cooperacao","meeting_10",9329,10314,985
1335,18,33,"t_cat_cooperacao","meeting_10",10316,13187,2871
